sha256,family,malware,apidetected,identical,similar,new,deleted,similarity
1F43FBB007383059EF236A5E6A5793FDD656130009F7A880A4E420F9EFA14AE7,None,False,False,18239,1,0,0,0.9999451754385965
1D239AC5886F9A6C321F0CD520E5CF507D7BD97B72AEEC0A3A93F2CE1AF19F66,douwan,True,False,12325,1,15,0,0.9999188706798637
9B8010FF3755C2C008FBFE2304E7E4B5D39AB9788A3E4EE345A1C111265F42E9,youmi,True,False,979,0,0,0,1.0
89AB2F26037AE77408870F2AB4EE6B6A31D1BFAD5EE463C82AA0524E02A2E399,airpush,True,True,813,7,112,0,0.9914634146341463
C454A81A1481BC85DBF579E01DB3BB13ECD4C6AB2C2F177B9D87B9BD51010979,kuguo,True,True,1354,0,480,0,1.0
8A705C9D314B94A5C86FB5F4B8DC64706F0378970D8B8E474AD63F284EE7836A,dowgin,True,True,520,1,989,0,0.9980806142034548
92FC9F43E4223C49502765583E42BAD3C59059637371EEDA1D03DC9739B1DCE3,None,False,True,3276,501,510,226,0.8183862103422433
47618CC9EDE3CD0F28AD6482BA7B0E6609279DFBEAF336F3F0E0D2B598148184,kuguo,True,True,354,1,1230,0,0.9971830985915493
48214F2D1AB1509DB9BF379861C00CD8026E060E4A872C13813C8724262DC4F1,youmi,True,False,310,0,189,0,1.0
BB602F10C5B6BCA72570E572B1AEF22AE0364930016B94888B4B25F5A9A5D3FF,wooboo,True,True,124,18,214,486,0.34831460674157305
0783788FD9B100136F336E3026C0126A0FFAA5064C68F020D4CDF7A6462C4ABF,None,False,False,4319,5,0,0,0.9988436632747456
73CAE12E86EF62ECB1B8A0C1535995EB0915396A1ADFB7B2D145B528205C9296,None,False,False,395,28,11,38,0.9101382488479263
37B4CF755480F1B55E6140DB3A2CDB11CCB3771FEE1D001F79EE32B70FB28120,kuguo,True,True,861,1,1055,0,0.9988399071925754
45A5E64CCC381527CD5306FFB8E0B1BF9E99F3C27051F3D57EE5B0AA5322C0E5,None,False,False,4450,1,0,0,0.9997753313862053
43BEA394D0C1926023D552D296FEBAF61B32B66115CCC3574DF3648A3C2747F4,None,False,False,442,0,0,0,1.0
3617D1E16767606A8059054E556FAB99281B60C2C428A79212D606AB0E91B98C,None,False,False,2114,408,432,563,0.7156398104265402
